iter	RMSE
0	0.4184528253
1	0.3631497753
2	0.3412223002
3	0.3055620081
4	0.2848449822
5	0.2721010839
6	0.259284736
7	0.2452281905
8	0.2407914773
9	0.2351166242
10	0.2304219903
11	0.2213898002
12	0.2156455526
13	0.2144846412
14	0.2132537403
15	0.2121393139
16	0.2086038078
17	0.2053693715
18	0.2040484286
19	0.2030008298
20	0.2008215186
21	0.1992048513
22	0.1975773895
23	0.1970474228
24	0.1954930928
25	0.1944985448
26	0.1935203679
27	0.1922803036
28	0.1918149902
29	0.1917967237
30	0.1911390511
31	0.1901157827
32	0.1890998634
33	0.1876450215
34	0.1867044253
35	0.1858612417
36	0.1852778277
37	0.1851218397
38	0.1845220742
39	0.183519369
40	0.1822528599
41	0.1821905101
42	0.1819254116
43	0.1814262802
44	0.1807508132
45	0.179440936
46	0.1778434717
47	0.1764074515
48	0.1743123196
49	0.1731146221
50	0.1721107012
51	0.1694716563
52	0.1683984148
53	0.166834482
54	0.1668318895
55	0.1667883549
56	0.1660465508
57	0.1652295844
58	0.1651932338
59	0.1651848442
60	0.1649044844
61	0.1646006684
62	0.1642148144
63	0.1617689387
64	0.1607580291
65	0.1604746824
66	0.1602271526
67	0.1600768692
68	0.1580112102
69	0.1579183525
70	0.1571423512
71	0.1547916674
72	0.1538235337
73	0.1526825585
74	0.1524800138
75	0.1519568065
76	0.1517123745
77	0.1515800874
78	0.1515447678
79	0.1513712374
80	0.149940395
81	0.1491777286
82	0.1483014205
83	0.1479007802
84	0.1477658066
85	0.1467408988
86	0.1460253355
87	0.1453882405
88	0.144983488
89	0.1447607871
90	0.1442277876
91	0.1429890286
92	0.1421206332
93	0.1418994671
94	0.1413818421
95	0.1403998874
96	0.1401838073
97	0.1400557958
98	0.139696177
99	0.1385209291
100	0.1381251823
101	0.1377968911
102	0.1371002424
103	0.1369790255
104	0.1367040366
105	0.1365544568
106	0.1363014771
107	0.1360788332
108	0.1352621476
109	0.1345497439
110	0.1343698921
111	0.13378444
112	0.1336353443
113	0.1329752801
114	0.1323289573
115	0.1318777095
116	0.1315763916
117	0.1312837348
118	0.1308979145
119	0.1307681422
120	0.1303484634
121	0.1300512726
122	0.129548879
123	0.1292708661
124	0.1291126592
125	0.1289789831
126	0.1288646239
127	0.1282868101
128	0.1277786103
129	0.1273822997
130	0.1267836956
131	0.126527096
132	0.126325245
133	0.1263224901
134	0.1259449287
135	0.1258550788
136	0.1256092674
137	0.1253469974
138	0.1248960021
139	0.1242993056
140	0.1238129055
141	0.1235255107
142	0.1232788862
143	0.1232605999
144	0.1230338936
145	0.1224368789
146	0.1222301426
147	0.1221310848
148	0.1221202596
149	0.1218156137
150	0.1215404871
151	0.1215394791
152	0.1208106432
153	0.1205497649
154	0.1202469295
155	0.120027832
156	0.1199252952
157	0.119551353
158	0.1193684614
159	0.1191531247
160	0.1187927286
161	0.1183733925
162	0.1181309489
163	0.1181263735
164	0.1179926892
165	0.1176098605
166	0.1175948666
167	0.117594525
168	0.1175821415
169	0.1174482604
170	0.117380841
171	0.117327514
172	0.1169889162
173	0.1168562701
174	0.1166175852
175	0.1164364788
176	0.1160041281
177	0.1156736849
178	0.115359834
179	0.1150622617
180	0.1147836183
181	0.1147817456
182	0.1144524756
183	0.1141654505
184	0.1140595249
185	0.1137394393
186	0.1134388317
187	0.1132397808
188	0.1132195497
189	0.1130303795
190	0.112944692
191	0.1128641413
192	0.1126569505
193	0.1125718023
194	0.1123748151
195	0.1121106792
196	0.1117764441
197	0.1115396286
198	0.1113736218
199	0.1111723116
200	0.1110004674
201	0.1106092125
202	0.1105206618
203	0.1102832339
204	0.1101579801
205	0.1098839521
206	0.1096753218
207	0.1093918307
208	0.1093883009
209	0.109235538
210	0.1089996721
211	0.1088732319
212	0.1087019285
213	0.1083655755
214	0.10833714
215	0.1082406323
216	0.1081529665
217	0.1078899063
218	0.1077943115
219	0.10763085
220	0.1075961381
221	0.1074498623
222	0.1071909031
223	0.1068731779
224	0.1068622303
225	0.1066021844
226	0.1064519901
227	0.1062660191
228	0.1061368479
229	0.1059642993
230	0.1057155941
231	0.105476943
232	0.1053367131
233	0.105107658
234	0.1049857721
235	0.1047855865
236	0.1045931229
237	0.1044647871
238	0.10421507
239	0.1039877036
240	0.1037801578
241	0.1037736168
242	0.1036325743
243	0.1035859572
244	0.1033624915
245	0.1031620867
246	0.1028994957
247	0.1028970315
248	0.1027221278
249	0.1025959682
250	0.1023674795
251	0.1022665539
252	0.1022011155
253	0.1019919615
254	0.1019076933
255	0.1017551748
256	0.1015934609
257	0.1013540875
258	0.1012023529
259	0.1011811775
260	0.1010035045
261	0.1009084039
262	0.1007895281
263	0.1007021102
264	0.1003870304
265	0.100332079
266	0.1001943229
267	0.1001838142
268	0.1001316865
269	0.1000649393
270	0.09996952926
271	0.09982502074
272	0.09974910573
273	0.09963973626
274	0.09959833657
275	0.099463677
276	0.09925829109
277	0.0990654019
278	0.09881692962
279	0.0986689177
280	0.09866791099
281	0.09859950686
282	0.09849432079
283	0.09847606234
284	0.09847260994
285	0.09837063508
286	0.09832703154
287	0.09825911734
288	0.09825443801
289	0.09824727201
290	0.09813652143
291	0.09795835585
292	0.09795683222
293	0.09776380071
294	0.09775051584
295	0.09769170834
296	0.09754465451
297	0.09741856959
298	0.09741651261
299	0.09730361578
300	0.09729032006
301	0.09710667347
302	0.09702545468
303	0.09678106929
304	0.09654715813
305	0.09644685458
306	0.09634097468
307	0.09608158325
308	0.09593883008
309	0.09586945294
310	0.09586476268
311	0.09563544213
312	0.09556695612
313	0.09548477114
314	0.0953342391
315	0.09515764648
316	0.09502760661
317	0.09491526632
318	0.09482427635
319	0.09472057817
320	0.09450318171
321	0.09440104138
322	0.09429836439
323	0.09423672442
324	0.09413811594
325	0.0940579529
326	0.09394396594
327	0.09372533951
328	0.09364008898
329	0.09340866452
330	0.09324155328
331	0.09320582276
332	0.09298309961
333	0.09289868112
334	0.0927882295
335	0.0927248166
336	0.09270719515
337	0.09264343944
338	0.0925172115
339	0.09246619225
340	0.09246326977
341	0.09232209171
342	0.09227416916
343	0.09226952579
344	0.09217934137
345	0.09214033772
346	0.09206956949
347	0.09189088883
348	0.09183247405
349	0.0916703058
350	0.09154106224
351	0.0914632752
352	0.09138240637
353	0.09136532603
354	0.09136403562
355	0.09129953041
356	0.09123215982
357	0.09106369774
358	0.09106259847
359	0.09106171137
360	0.09093871511
361	0.090886305
362	0.09077283414
363	0.09062557597
364	0.09061219527
365	0.09054918127
366	0.09044664313
367	0.0903899111
368	0.09028390499
369	0.09009299771
370	0.09005545412
371	0.08995860475
372	0.08981889824
373	0.08968215535
374	0.08961916671
375	0.08949840146
376	0.08935910143
377	0.08916561613
378	0.08903047978
379	0.08895720579
380	0.08884426373
381	0.08865625061
382	0.08864287752
383	0.08855584273
384	0.08849652689
385	0.08843706027
386	0.08829823163
387	0.08820859665
388	0.08810466143
389	0.08800460836
390	0.0879762743
391	0.08789825767
392	0.08782628919
393	0.08767059097
394	0.08753233502
395	0.08749243006
396	0.08743784457
397	0.08729049932
398	0.08721905468
399	0.08704362544
400	0.08692154491
401	0.08673799512
402	0.0866813888
403	0.08655100288
404	0.08649349173
405	0.08639975874
406	0.08632260517
407	0.08625450493
408	0.08621138986
409	0.08619216756
410	0.08615381715
411	0.0861524075
412	0.08605263131
413	0.08594337128
414	0.08582866151
415	0.08578300387
416	0.0856704837
417	0.08560113458
418	0.08550015531
419	0.08547368475
420	0.08540538122
421	0.08519793455
422	0.08515682462
423	0.08503835801
424	0.08497049565
425	0.08484112847
426	0.08468588702
427	0.08466818402
428	0.08461607887
429	0.08452826077
430	0.08447710635
431	0.0844396166
432	0.08435280952
433	0.08421774472
