iter	Passed	Remaining
0	34	40960
1	69	42042
2	85	34216
3	120	36143
4	154	37042
5	191	38229
6	223	38265
7	259	38725
8	266	35443
9	302	36113
10	336	36494
11	370	36804
12	384	35225
13	396	33686
14	414	32824
15	425	31606
16	457	31939
17	488	32197
18	522	32560
19	557	32976
20	590	33268
21	623	33474
22	640	32882
23	648	31874
24	674	31832
25	707	32038
26	739	32224
27	772	32460
28	803	32557
29	820	32090
30	835	31604
31	867	31783
32	882	31321
33	914	31478
34	945	31581
35	979	31763
36	1000	31565
37	1016	31179
38	1046	31256
39	1079	31416
40	1113	31585
41	1135	31411
42	1143	30875
43	1151	30357
44	1184	30501
45	1217	30646
46	1250	30790
47	1282	30884
48	1316	31022
49	1347	31104
50	1398	31606
51	1430	31685
52	1463	31787
53	1495	31852
54	1509	31530
55	1541	31604
56	1573	31667
57	1606	31733
58	1637	31770
59	1665	31748
60	1697	31810
61	1730	31875
62	1764	31949
63	1795	31990
64	1829	32067
65	1862	32108
66	1895	32172
67	1928	32209
68	1962	32275
69	1994	32318
70	2035	32487
71	2067	32509
72	2101	32557
73	2134	32600
74	2167	32630
75	2201	32668
76	2233	32694
77	2268	32746
78	2299	32739
79	2331	32752
80	2363	32768
81	2395	32771
82	2428	32798
83	2459	32791
84	2493	32826
85	2526	32844
86	2560	32876
87	2592	32878
88	2625	32893
89	2657	32890
90	2690	32905
91	2723	32917
92	2760	32971
93	2791	32961
94	2824	32973
95	2856	32967
96	2890	32991
97	2922	32977
98	2955	32991
99	2988	32991
100	3021	33002
101	3054	32999
102	3087	33005
103	3120	33006
104	3154	33019
105	3185	32997
106	3218	32996
107	3251	32997
108	3285	33008
109	3318	33003
110	3352	33010
111	3385	33006
112	3418	33008
113	3451	32998
114	3484	32993
115	3516	32980
116	3549	32975
117	3580	32949
118	3618	32993
119	3650	32975
120	3684	32973
121	3716	32958
122	3749	32952
123	3780	32922
124	3813	32921
125	3845	32903
126	3879	32901
127	3911	32882
128	3945	32878
129	3977	32862
130	4012	32868
131	4045	32853
132	4079	32849
133	4110	32823
134	4145	32827
135	4178	32811
136	4213	32817
137	4246	32802
138	4282	32809
139	4314	32793
140	4349	32791
141	4381	32768
142	4416	32766
143	4447	32738
144	4480	32723
145	4512	32698
146	4545	32685
147	4577	32661
148	4610	32645
149	4643	32629
150	4676	32609
151	4708	32586
152	4741	32573
153	4774	32554
154	4809	32550
155	4843	32536
156	4878	32534
157	4911	32512
158	4945	32500
159	4976	32474
160	5011	32464
161	5043	32441
162	5077	32427
163	5109	32402
164	5146	32410
165	5178	32382
166	5210	32356
167	5240	32313
168	5273	32295
169	5305	32271
170	5340	32261
171	5371	32227
172	5403	32204
173	5433	32166
174	5467	32149
175	5500	32127
176	5534	32111
177	5566	32084
178	5599	32064
179	5631	32036
180	5665	32022
181	5697	31992
182	5731	31978
183	5763	31950
184	5798	31936
185	5830	31908
186	5863	31890
187	5896	31865
188	5930	31847
189	5962	31823
190	5996	31805
191	6030	31783
192	6064	31768
193	6097	31746
194	6137	31758
195	6170	31735
196	6204	31716
197	6236	31685
198	6269	31663
199	6301	31634
200	6335	31616
201	6367	31583
202	6401	31566
203	6434	31540
204	6467	31519
205	6500	31490
206	6534	31475
207	6567	31448
208	6599	31420
209	6631	31389
210	6665	31367
211	6697	31341
212	6731	31318
213	6763	31290
214	6798	31271
215	6831	31247
216	6866	31230
217	6898	31202
218	6932	31182
219	6965	31156
220	6998	31128
221	7031	31102
222	7063	31073
223	7096	31046
224	7128	31017
225	7162	30995
226	7195	30970
227	7231	30955
228	7265	30932
229	7298	30908
230	7329	30874
231	7362	30847
232	7395	30819
233	7428	30794
234	7461	30765
235	7494	30739
236	7527	30714
237	7562	30693
238	7597	30675
239	7632	30655
240	7666	30633
241	7700	30612
242	7734	30586
243	7769	30568
244	7801	30535
245	7834	30509
246	7867	30482
247	7900	30455
248	7933	30427
249	7969	30411
250	8002	30383
251	8036	30361
252	8069	30331
253	8103	30309
254	8140	30294
255	8175	30274
256	8207	30244
257	8242	30223
258	8274	30192
259	8309	30168
260	8341	30137
261	8377	30119
262	8409	30089
263	8444	30066
264	8476	30035
265	8511	30012
266	8544	29985
267	8578	29960
268	8611	29931
269	8643	29900
270	8677	29875
271	8710	29845
272	8745	29823
273	8779	29797
274	8813	29774
275	8846	29745
276	8882	29725
277	8941	29784
278	8980	29773
279	9016	29755
280	9048	29723
281	9083	29699
282	9116	29670
283	9151	29646
284	9185	29620
285	9219	29594
286	9254	29567
287	9287	29538
288	9321	29511
289	9353	29479
290	9386	29448
291	9418	29416
292	9451	29385
293	9483	29354
294	9517	29327
295	9550	29296
296	9583	29265
297	9615	29234
298	9649	29206
299	9682	29176
300	9717	29152
301	9750	29122
302	9785	29096
303	9817	29063
